	DSynCom_SSM_NA_A_1	DSynCom_SSM_NA_B_1	DSynCom_SSM_NA_C_1	DSynCom_SSM_101_A_2	DSynCom_SSM_101_A_3	DSynCom_SSM_101_B_2	DSynCom_SSM_101_B_3	DSynCom_SSM_102_A_2	DSynCom_SSM_102_A_3	DSynCom_SSM_102_B_2	DSynCom_SSM_102_B_3	Wk_4_D_Syncom_10_1_RepB	Wk_4_D_Syncom_10_2_RepA	Wk_4_D_Syncom_10_2_RepB	Wk_5_D_Syncom_10_1_RepA	Wk_5_D_Syncom_10_1_RepB	Wk_5_D_Syncom_10_2_RepA	Wk_5_D_Syncom_10_2_RepB	Wk_6_D_Syncom_10_1_RepA	Wk_6_D_Syncom_10_1_RepB	Wk_6_D_Syncom_10_2_RepA	Wk_6_D_Syncom_10_2_RepB	Wk_7_D_Syncom_10_1_RepA	Wk_7_D_Syncom_10_1_RepB	Wk_7_D_Syncom_10_2_RepA	Wk_7_D_Syncom_10_2_RepB	Wk_8_D_Syncom_10_1_RepA	Wk_8_D_Syncom_10_1_RepB	Wk_8_D_Syncom_10_2_RepA	Wk_8_D_Syncom_10_2_RepB	DSynCom_SSMEx_NA_A_1	DSynCom_SSMEx_NA_B_1	DSynCom_SSMEx_NA_C_1	DSynCom_SSMEx_101_A_2	DSynCom_SSMEx_101_A_3	DSynCom_SSMEx_102_A_3	DSynCom_SSMEx_102_B_2	DSynCom_SSMEx_102_B_3	Wk_4_D_Syncom_Ex_10_1_RepA	Wk_4_D_Syncom_Ex_10_1_RepB	Wk_4_D_Syncom_Ex_10_2_RepA	Wk_4_D_Syncom_Ex_10_2_RepB	Wk_5_D_Syncom_Ex_10_1_RepA	Wk_5_D_Syncom_Ex_10_1_RepB	Wk_5_D_Syncom_Ex_10_2_RepA	Wk_5_D_Syncom_Ex_10_2_RepB	Wk_6_D_Syncom_Ex_10_1_RepA	Wk_6_D_Syncom_Ex_10_1_RepB	Wk_6_D_Syncom_Ex_10_2_RepA	Wk_6_D_Syncom_Ex_10_2_RepB	Wk_7_D_Syncom_Ex_10_1_RepA	Wk_7_D_Syncom_Ex_10_1_RepB	Wk_7_D_Syncom_Ex_10_2_RepA	Wk_7_D_Syncom_Ex_10_2_RepB	Wk_8_D_Syncom_Ex_10_1_RepA	Wk_8_D_Syncom_Ex_10_1_RepB	Wk_8_D_Syncom_Ex_10_2_RepA	Wk_8_D_Syncom_Ex_10_2_RepB	SynCom_WaterP1	SynCom_WaterP2	SynCom_WaterP3	SynCom_WaterP4	SynCom_WaterP5	SynCom_WaterP6	SynCom_WaterP7	SynCom_WaterP8	SynCom_WaterP9	SynCom_WatP10	SynCom_WatP11	SynCom_WatP12	SynCom_WatP13	SynCom_WatP14	SynCom_WatP15	SynCom_WatP16	SynCom_DghtP1	SynCom_DghtP10	SynCom_DghtP11	SynCom_DghtP12	SynCom_DghtP13	SynCom_DghtP14	SynCom_DghtP15	SynCom_DghtP16	SynCom_DghtP2	SynCom_DghtP3	SynCom_DghtP4	SynCom_DghtP5	SynCom_DghtP6	SynCom_DghtP7	SynCom_DghtP8	SynCom_DghtP9	SymCom_W_1	SymCom_W_10	SymCom_W_11	SymCom_W_12	SymCom_W_13	SymCom_W_14	SymCom_W_15	SymCom_W_16	SymCom_W_18	SymCom_W_19	SymCom_W_2	SymCom_W_20	SymCom_W_3	SymCom_W_4	SymCom_W_5	SymCom_W_6	SymCom_W_7	SymCom_W_8	SymCom_W_9	SymCom_WRh_1	SymCom_WRh_10	SymCom_WRh_11	SymCom_WRh_12	SymCom_WRh_13	SymCom_WRh_14	SymCom_WRh_16	SymCom_WRh_17	SymCom_WRh_18	SymCom_WRh_19	SymCom_WRh_2	SymCom_WRh_20	SymCom_WRh_3	SymCom_WRh_4	SymCom_WRh_5	SymCom_WRh_6	SymCom_WRh_7	SymCom_WRh_8	SymCom_WRh_9	SymCom_D_1	SymCom_D_10	SymCom_D_11	SymCom_D_12	SymCom_D_13	SymCom_D_14	SymCom_D_15	SymCom_D_16	SymCom_D_17	SymCom_D_18	SymCom_D_19	SymCom_D_2	SymCom_D_20	SymCom_D_3	SymCom_D_4	SymCom_D_5	SymCom_D_6	SymCom_D_7	SymCom_D_8	SymCom_D_9	SymCom_DRh_1	SymCom_DRh_10	SymCom_DRh_11	SymCom_DRh_12	SymCom_DRh_13	SymCom_DRh_14	SymCom_DRh_15	SymCom_DRh_16	SymCom_DRh_17	SymCom_DRh_18	SymCom_DRh_19	SymCom_DRh_2	SymCom_DRh_20	SymCom_DRh_3	SymCom_DRh_4	SymCom_DRh_5	SymCom_DRh_6	SymCom_DRh_7	SymCom_DRh_8	SymCom_DRh_9	taxonomy
004-C1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	8	5	0	11	18	3	0	7	5	3	8	295	406	277	290	142	261	281	329	251	156	92	309	316	247	221	199	169	232	60	206	200	238	185	220	124	191	144	397	215	479	633	110	76	130	104	271	89	63	26	182	71	27	38	100	179	135	232	111	90	116	215	92	139	195	93	83	69	120	133	91	60	80	100	195	39	378	144	68	136	120	79	137	40	115	130	104	51	16	22	87	16	168	91	117	47	22	70	81	86	69	197	117	66	113	169	134	144	103	143	83	139	235	138	106	76	55	127	131	159	104	Paenibacillus
TBS_090	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385	334	386	400	211	406	343	397	371	325	118	544	539	456	303	217	348	185	121	310	416	550	242	364	271	190	169	146	216	218	295	161	52	133	53	471	90	71	20	295	72	23	24	227	84	178	93	130	155	203	367	67	230	225	133	99	67	240	200	154	118	116	145	149	30	516	251	77	172	199	8	151	36	228	126	134	114	59	36	85	23	82	249	146	14	19	129	85	181	37	90	254	183	241	409	230	386	146	249	129	321	203	304	146	105	73	310	108	104	176	Paenibacillus
TBS_091	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	55	79	70	0	81	74	67	93	90	0	99	136	85	77	62	92	51	34	79	110	130	77	97	49	56	45	39	43	55	72	0	0	30	0	119	0	0	0	73	0	0	0	49	0	51	47	0	0	0	84	0	52	41	41	32	0	72	37	46	0	45	54	41	19	121	59	27	0	36	0	37	0	57	46	36	0	0	0	0	0	0	67	34	0	0	0	0	37	0	0	109	0	88	122	61	151	40	63	0	102	75	92	63	0	27	64	32	34	39	Paenibacillus
TBS_021	5401	1	7411	1619	1108	5071	4254	2296	2257	2248	22	3764	962	1328	3537	3846	1901	2063	4146	4461	1788	1118	3519	6150	2392	842	2293	3658	2048	732	6349	6629	4499	2737	1319	780	5106	0	1474	4485	2735	2566	2330	3476	1384	1632	2220	2235	1718	1703	1942	4220	1533	2316	1545	1194	1038	1412	29739	23852	27826	24034	19981	29733	29970	30599	22218	22862	7250	21140	23706	29757	23406	18690	19624	12021	24592	22972	36823	33101	18768	25774	31174	12149	14523	10007	23672	28409	28604	18556	1401	2921	1632	2504	1991	815	1163	2693	2542	1058	603	2811	3125	3244	1574	1911	658	1617	1658	7740	7461	2431	6882	7554	1442	11340	3874	9032	7793	3414	4466	5329	7319	6712	3552	1322	5133	3551	259	1944	984	1132	926	6695	1335	1488	409	666	8956	838	2736	3001	438	268	836	2231	1672	1561	1959	5031	1611	3617	1629	5102	9245	4447	3686	1966	2955	2893	2950	3786	3588	3138	3381	2783	7579	3198	Chryseobacterium
TBS_027	20	1	19	1	1	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	17	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	796	1622	594	684	1192	526	1027	1706	1518	1064	809	965	2527	1695	1731	1105	613	1466	625	1553	1139	978	681	2020	737	1181	3487	3070	1612	2069	1812	2220	1481	2115	1974	2133	800	2089	156	1068	1956	674	1404	753	1279	311	161	436	317	480	794	1667	445	377	2699	985	966	4241	772	868	2845	2296	1630	1655	1890	1566	1827	2050	979	1185	932	2976	3149	1697	1323	2117	804	2103	Chryseobacterium
TBS_038	192	16	469	236	393	825	462	427	605	544	11	1934	1442	985	3191	3987	2922	2558	4083	6162	2806	2166	3122	5056	3297	2763	3245	7112	5750	3562	454	379	409	844	698	355	482	0	1397	3560	3028	2432	2313	2758	1800	2133	4650	4127	5531	4542	3464	7362	4613	4152	3941	3999	3098	4291	35914	44165	40106	29352	29345	37622	33266	35534	38060	39228	23994	41785	37797	30228	40397	21418	31277	29617	46805	38744	40679	31902	25944	36886	23423	29130	35917	26376	32005	34888	31986	33231	4157	4486	1829	2679	2502	3149	2758	4219	3212	2831	1872	4718	4756	4748	3441	7574	4314	2765	1868	3470	3436	2169	3337	2848	2334	3964	3495	3999	3267	3621	2772	2712	4358	5479	3135	4517	4571	7066	1886	2163	1603	4004	4896	2426	2498	2565	974	2780	2667	1597	2689	8595	1376	3997	2418	4278	4521	9808	1734	3974	1370	2038	1710	2257	6039	2576	2990	2730	1554	3854	1631	4063	2702	3296	1970	2065	2962	2495	Rhizobium
TBS_075	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9624	7246	8321	10774	7996	10230	7480	7632	10729	9712	9387	10764	6477	9037	7213	3906	6629	6120	6603	8375	6480	6961	3677	6428	5110	4898	6227	3398	6773	7890	8978	10297	2522	771	836	1343	762	537	662	1581	958	2490	664	1601	714	1276	537	1042	1837	990	725	969	1114	889	1114	1041	314	762	909	1732	1260	989	1004	1317	388	1036	1715	772	1591	1410	657	554	954	1432	3143	414	1566	1503	286	606	759	609	1533	693	305	241	712	2064	2228	298	332	1090	847	460	658	259	550	439	549	292	387	1038	409	438	502	271	1106	556	438	1072	Lysobacter
TBS_004	3428	1	5046	1342	309	1901	297	734	191	672	32	34	38	26	30	34	26	16	25	27	18	14	0	0	0	0	0	0	0	0	6574	5270	5654	1149	605	433	642	0	49	111	106	110	34	38	28	40	22	26	47	26	0	0	0	13	0	0	0	0	13215	9885	16692	12756	27989	26924	35642	35253	21302	16291	13269	13579	13896	15064	14777	7842	20227	12748	11356	10719	16208	10995	13379	12818	7599	7205	20287	14752	15864	14169	9022	10174	11130	825	2767	1815	1515	1463	8888	3442	2928	12703	4401	2287	776	9344	3764	2906	4857	1789	6186	2882	1798	1744	1424	1271	681	1578	1525	3101	2022	4440	953	2281	849	1359	3494	3577	4467	3597	2943	1064	4883	15908	5261	1604	7545	10153	12660	1558	1595	23968	5123	992	3513	8437	1071	6773	8818	6234	1063	1908	1331	2065	2770	1253	1512	2412	2017	1258	2537	1113	2422	1840	1944	1763	2584	1291	1777	2428	Pseudomonas
TBS_028	175	18	284	56	19	66	9	31	11	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	228	136	38	11	0	19	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25239	22079	30127	23021	23791	23008	27172	27037	41024	38186	25206	40123	23490	25644	24170	9840	27647	26939	45715	39640	22007	19629	14329	22260	15946	17529	37413	22061	22585	22097	17122	38809	5624	1657	2755	1454	604	2945	502	2571	1231	12485	4784	3161	1644	4211	13976	1120	1175	1440	28138	1547	1501	1489	849	960	883	791	1467	2007	1325	4438	1465	1731	937	982	2204	1907	2139	2562	3384	1193	10227	2227	8597	3994	6019	7070	13172	1326	1395	2207	2056	616	31762	11899	720	1975	4437	3115	1387	1181	1206	1317	2620	888	1103	1614	1865	884	1965	933	1917	2371	1335	1205	1711	738	900	1298	Pseudomonas
TBS_049	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13296	17999	10977	15061	9963	15763	18569	17612	17098	14061	8004	17540	13303	21037	14104	11683	16801	15688	26727	26152	20709	15893	12008	21791	15422	8716	8116	9280	19224	23736	15982	16026	233	1049	308	1203	529	430	413	1610	824	405	276	982	528	852	429	648	512	560	831	661	1198	1125	889	1319	630	1678	1651	1631	1127	992	1296	886	1072	1878	1580	2466	1161	2015	0	1118	1124	780	452	880	636	199	80	177	775	286	1085	844	97	282	646	385	758	1056	410	1246	1572	1115	919	1120	1157	1246	1167	1054	1680	880	1697	1753	841	590	1418	682	1146	1357	Pseudomonas
