	DSynCom_SSM_NA_A_1	DSynCom_SSM_NA_B_1	DSynCom_SSM_NA_C_1	DSynCom_SSM_101_A_2	DSynCom_SSM_101_B_2	DSynCom_SSM_102_B_2	DSynCom_SSM_102_A_2	DSynCom_SSM_101_A_3	DSynCom_SSM_101_B_3	DSynCom_SSM_102_A_3	DSynCom_SSM_102_B_3	Wk_4_D_Syncom_10_1_RepB	Wk_4_D_Syncom_10_2_RepA	Wk_4_D_Syncom_10_2_RepB	Wk_5_D_Syncom_10_1_RepA	Wk_5_D_Syncom_10_1_RepB	Wk_5_D_Syncom_10_2_RepA	Wk_5_D_Syncom_10_2_RepB	Wk_6_D_Syncom_10_1_RepA	Wk_6_D_Syncom_10_1_RepB	Wk_6_D_Syncom_10_2_RepA	Wk_6_D_Syncom_10_2_RepB	Wk_7_D_Syncom_10_1_RepA	Wk_7_D_Syncom_10_1_RepB	Wk_7_D_Syncom_10_2_RepA	Wk_7_D_Syncom_10_2_RepB	Wk_8_D_Syncom_10_1_RepA	Wk_8_D_Syncom_10_1_RepB	Wk_8_D_Syncom_10_2_RepA	Wk_8_D_Syncom_10_2_RepB	DSynCom_SSMEx_NA_A_1	DSynCom_SSMEx_NA_B_1	DSynCom_SSMEx_NA_C_1	DSynCom_SSMEx_101_A_2	DSynCom_SSMEx_102_B_2	DSynCom_SSMEx_101_A_3	DSynCom_SSMEx_102_A_3	DSynCom_SSMEx_102_B_3	Wk_4_D_Syncom_Ex_10_1_RepA	Wk_4_D_Syncom_Ex_10_1_RepB	Wk_4_D_Syncom_Ex_10_2_RepA	Wk_4_D_Syncom_Ex_10_2_RepB	Wk_5_D_Syncom_Ex_10_1_RepA	Wk_5_D_Syncom_Ex_10_1_RepB	Wk_5_D_Syncom_Ex_10_2_RepA	Wk_5_D_Syncom_Ex_10_2_RepB	Wk_6_D_Syncom_Ex_10_1_RepA	Wk_6_D_Syncom_Ex_10_1_RepB	Wk_6_D_Syncom_Ex_10_2_RepA	Wk_6_D_Syncom_Ex_10_2_RepB	Wk_7_D_Syncom_Ex_10_1_RepA	Wk_7_D_Syncom_Ex_10_1_RepB	Wk_7_D_Syncom_Ex_10_2_RepA	Wk_7_D_Syncom_Ex_10_2_RepB	Wk_8_D_Syncom_Ex_10_1_RepA	Wk_8_D_Syncom_Ex_10_1_RepB	Wk_8_D_Syncom_Ex_10_2_RepA	Wk_8_D_Syncom_Ex_10_2_RepB	SymCom_W_1	SymCom_W_10	SymCom_W_11	SymCom_W_12	SymCom_W_13	SymCom_W_14	SymCom_W_15	SymCom_W_16	SymCom_W_18	SymCom_W_19	SymCom_W_2	SymCom_W_20	SymCom_W_3	SymCom_W_4	SymCom_W_5	SymCom_W_6	SymCom_W_7	SymCom_W_8	SymCom_W_9	SymCom_WRh_1	SymCom_WRh_10	SymCom_WRh_11	SymCom_WRh_12	SymCom_WRh_13	SymCom_WRh_14	SymCom_WRh_16	SymCom_WRh_17	SymCom_WRh_18	SymCom_WRh_19	SymCom_WRh_2	SymCom_WRh_20	SymCom_WRh_3	SymCom_WRh_4	SymCom_WRh_5	SymCom_WRh_6	SymCom_WRh_7	SymCom_WRh_8	SymCom_WRh_9	SymCom_D_1	SymCom_D_10	SymCom_D_11	SymCom_D_12	SymCom_D_13	SymCom_D_14	SymCom_D_15	SymCom_D_16	SymCom_D_17	SymCom_D_18	SymCom_D_19	SymCom_D_2	SymCom_D_20	SymCom_D_3	SymCom_D_4	SymCom_D_5	SymCom_D_6	SymCom_D_7	SymCom_D_8	SymCom_D_9	SymCom_DRh_1	SymCom_DRh_10	SymCom_DRh_11	SymCom_DRh_12	SymCom_DRh_13	SymCom_DRh_14	SymCom_DRh_15	SymCom_DRh_16	SymCom_DRh_17	SymCom_DRh_18	SymCom_DRh_19	SymCom_DRh_2	SymCom_DRh_20	SymCom_DRh_3	SymCom_DRh_4	SymCom_DRh_5	SymCom_DRh_6	SymCom_DRh_7	SymCom_DRh_8	SymCom_DRh_9	taxonomy
TBS_111	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	18	29	0	0	0	17	0	0	0	0	0	0	23	0	15	12	12	0	0	16	12	0	0	0	0	0	0	54	25	0	0	29	0	0	0	22	0	0	0	0	0	0	0	38	10	0	0	0	0	0	0	0	0	22	0	8	12	10	18	0	11	12	37	11	32	0	0	0	13	0	11	17	Bacillus
TBS_113	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	11	0	0	23	0	0	0	14	23	19	0	0	0	0	28	0	21	28	18	12	0	36	11	0	0	0	0	19	23	99	32	0	0	0	0	0	0	0	0	24	0	0	0	0	0	14	20	0	0	0	14	0	0	0	0	0	18	46	14	24	37	0	0	14	24	32	23	0	0	0	24	0	0	24	Bacillus
004-C1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	8	5	0	11	18	3	0	7	5	3	8	76	130	104	271	89	63	26	182	71	27	38	100	179	135	232	111	90	116	215	92	139	195	93	83	69	120	133	91	60	80	100	195	39	378	144	68	136	120	79	137	40	115	130	104	51	16	22	87	16	168	91	117	47	22	70	81	86	69	197	117	66	113	169	134	144	103	143	83	139	235	138	106	76	55	127	131	159	104	Paenibacillus
TBS_090	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	133	53	471	90	71	20	295	72	23	24	227	84	178	93	130	155	203	367	67	230	225	133	99	67	240	200	154	118	116	145	149	30	516	251	77	172	199	8	151	36	228	126	134	114	59	36	85	23	82	249	146	14	19	129	85	181	37	90	254	183	241	409	230	386	146	249	129	321	203	304	146	105	73	310	108	104	176	Paenibacillus
TBS_091	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	119	0	0	0	73	0	0	0	49	0	51	47	0	0	0	84	0	52	41	41	32	0	72	37	46	0	45	54	41	19	121	59	27	0	36	0	37	0	57	46	36	0	0	0	0	0	0	67	34	0	0	0	0	37	0	0	109	0	88	122	61	151	40	63	0	102	75	92	63	0	27	64	32	34	39	Paenibacillus
TBS_021	5401	1	7411	1619	5071	2248	2296	1108	4254	2257	22	3764	962	1328	3537	3846	1901	2063	4146	4461	1788	1118	3519	6150	2392	842	2293	3658	2048	732	6349	6629	4499	2737	5106	1319	780	0	1474	4485	2735	2566	2330	3476	1384	1632	2220	2235	1718	1703	1942	4220	1533	2316	1545	1194	1038	1412	1401	2921	1632	2504	1991	815	1163	2693	2542	1058	603	2811	3125	3244	1574	1911	658	1617	1658	7740	7461	2431	6882	7554	1442	11340	3874	9032	7793	3414	4466	5329	7319	6712	3552	1322	5133	3551	259	1944	984	1132	926	6695	1335	1488	409	666	8956	838	2736	3001	438	268	836	2231	1672	1561	1959	5031	1611	3617	1629	5102	9245	4447	3686	1966	2955	2893	2950	3786	3588	3138	3381	2783	7579	3198	Chryseobacterium
TBS_027	20	1	19	1	7	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	17	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	796	1622	594	684	1192	526	1027	1706	1518	1064	809	965	2527	1695	1731	1105	613	1466	625	1553	1139	978	681	2020	737	1181	3487	3070	1612	2069	1812	2220	1481	2115	1974	2133	800	2089	156	1068	1956	674	1404	753	1279	311	161	436	317	480	794	1667	445	377	2699	985	966	4241	772	868	2845	2296	1630	1655	1890	1566	1827	2050	979	1185	932	2976	3149	1697	1323	2117	804	2103	Chryseobacterium
CO6	5	1	9	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	1032	158	2522	918	620	229	2320	573	420	246	1888	908	2325	353	1123	1446	977	1296	400	2724	1072	978	527	431	1366	783	968	693	790	1096	1314	154	3273	3720	1480	1405	1747	66	923	479	1252	1647	767	515	748	180	1694	210	533	2317	1278	84	559	645	712	1688	1581	541	1299	740	832	1426	1117	1222	1036	1939	494	2367	880	2334	619	565	410	1851	656	1111	1008	Chryseobacterium
SO6b	1354	1	929	1413	471	4672	1836	1807	1421	4947	89	1584	2263	2847	4288	4581	4474	7278	11067	6354	7506	9173	7269	2908	5479	6738	5798	3738	5532	6787	671	509	601	891	2550	1150	1619	0	1440	5066	4295	3883	2999	5513	3404	3799	5470	5769	6977	6122	3893	10723	6972	8294	3466	3713	2949	4739	702	5728	9744	3023	12379	5207	2640	5646	4711	2296	2554	3826	6910	4843	6620	3864	13239	4529	1642	721	1182	1181	1529	1536	2243	1474	2358	3303	1949	1054	1763	1703	1709	3727	1193	1377	1319	2397	265	4368	2023	5930	9471	5227	4639	6675	543	5879	8590	1955	3442	7719	817	3501	5027	9312	19692	3644	1463	2449	1633	2356	2076	1902	7282	2339	1698	1934	1619	2300	1543	3890	1860	2551	1050	1483	1770	920	Flavobacterium
TBS_038	192	16	469	236	825	544	427	393	462	605	11	1934	1442	985	3191	3987	2922	2558	4083	6162	2806	2166	3122	5056	3297	2763	3245	7112	5750	3562	454	379	409	844	482	698	355	0	1397	3560	3028	2432	2313	2758	1800	2133	4650	4127	5531	4542	3464	7362	4613	4152	3941	3999	3098	4291	4157	4486	1829	2679	2502	3149	2758	4219	3212	2831	1872	4718	4756	4748	3441	7574	4314	2765	1868	3470	3436	2169	3337	2848	2334	3964	3495	3999	3267	3621	2772	2712	4358	5479	3135	4517	4571	7066	1886	2163	1603	4004	4896	2426	2498	2565	974	2780	2667	1597	2689	8595	1376	3997	2418	4278	4521	9808	1734	3974	1370	2038	1710	2257	6039	2576	2990	2730	1554	3854	1631	4063	2702	3296	1970	2065	2962	2495	Rhizobium
Sin1	7	1	1	16	1	13	6	1	1	0	0	14	23	16	46	35	51	61	55	53	64	46	48	42	45	52	38	48	53	80	17	6	0	21	36	0	13	0	36	78	58	82	50	60	39	51	80	55	80	84	55	109	67	68	86	47	53	81	420	108	39	268	52	121	71	227	77	91	59	388	68	290	102	181	402	110	457	133	202	135	130	108	110	224	309	266	158	152	213	187	84	434	313	196	233	207	1187	71	58	514	205	124	173	314	40	212	70	166	305	157	147	41	93	200	212	579	104	234	143	184	395	218	275	234	245	144	243	235	271	311	131	142	295	154	131	223	Sphingobium
S01	803	3	1213	659	1646	2260	1381	974	977	786	120	5995	4107	5345	4937	9272	8455	7956	12909	12663	8556	8598	4915	5229	5315	6975	5774	5236	8544	7033	629	643	393	1127	1706	739	545	5	2496	6125	4807	5490	3917	6284	3581	4378	6763	7525	9333	6557	3149	8413	5517	9380	5347	4255	4106	4307	396	711	296	1088	605	416	221	1497	612	288	177	888	740	1168	576	1028	438	715	930	599	1320	1388	1001	1160	779	1538	1936	1803	1121	824	1245	777	835	2580	1516	1625	960	1211	48	1056	1438	701	966	1146	511	249	115	461	254	351	1252	1036	179	153	847	423	673	13730	842	2082	2149	2460	1933	3076	2346	1674	1743	1280	1687	1478	1524	3555	1221	1974	1622	943	831	2729	Acinetobacter
CO2	11	1	36	1	1	14	8	1	1	0	0	19	19	20	26	44	30	48	33	37	30	65	73	66	49	36	40	52	48	69	26	31	19	5	10	0	0	0	36	62	68	41	25	33	22	26	81	72	111	56	33	64	60	43	50	47	29	66	7533	1618	1706	2431	5082	4728	12402	4399	5683	6512	1837	9349	3500	10508	3887	3082	4750	2438	3385	3463	1979	2343	2044	2326	1762	1950	5310	4501	3294	3386	2336	2219	2896	1943	2540	3414	3369	2929	12275	3028	2929	4224	5284	3836	5267	2756	1794	8259	1390	2011	3313	2977	6212	592	3790	3054	5742	3100	2214	1565	1619	1857	2197	1647	976	2401	1734	1887	1423	1674	1537	2418	1640	1528	1814	1421	1241	2109	Paraburkholderia
SO8-2	152	1	256	201	113	437	191	92	207	192	13	182	150	141	258	201	204	217	246	385	288	315	490	560	366	292	416	463	460	408	156	234	154	217	255	192	160	0	185	376	299	189	180	263	120	139	491	535	519	328	207	463	400	323	401	382	311	308	1575	7784	8453	3902	23634	6793	1712	2991	10876	4624	7651	4013	15250	4817	3659	6438	1848	11521	940	9483	7136	9455	6573	5021	9078	3249	5066	3009	3491	7325	8071	10768	5076	4647	4432	7382	6311	3544	5315	9987	523	1614	4176	8336	6343	751	1660	6891	3010	3621	3015	9100	1392	3652	19397	5224	4443	6130	15599	4709	3378	5474	2076	4643	4260	7612	6279	10926	1611	6876	1774	5908	7519	9694	5982	11323	14041	3568	Paraburkholderia
PH2	20638	19	29229	14696	16332	23384	13928	14860	15771	16225	722	8668	7377	8450	11496	12946	11793	13854	23285	26454	18856	18614	15676	13542	11148	13718	14663	18351	17670	16544	28649	22458	21667	17869	18739	20553	16537	0	5601	11848	11527	10481	8729	13248	9584	9379	22310	17719	20829	16899	8823	22216	15810	23853	12169	10665	11179	10096	772	1287	822	1002	2334	1479	288	1422	2319	684	639	954	693	1983	1809	977	381	543	3618	1153	1139	1118	1099	4659	1461	1246	1610	3598	2020	2645	1876	1444	1510	2170	1202	1099	1294	4436	3446	1639	9827	1394	1470	3686	4246	392	275	1665	1431	926	1112	1169	621	363	2892	729	1274	1379	830	2677	5556	2941	1789	2418	5677	1750	1089	1110	1336	1609	1251	2652	1273	3660	1016	824	2245	2505	Enterobacter
TBS_075	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2522	771	836	1343	762	537	662	1581	958	2490	664	1601	714	1276	537	1042	1837	990	725	969	1114	889	1114	1041	314	762	909	1732	1260	989	1004	1317	388	1036	1715	772	1591	1410	657	554	954	1432	3143	414	1566	1503	286	606	759	609	1533	693	305	241	712	2064	2228	298	332	1090	847	460	658	259	550	439	549	292	387	1038	409	438	502	271	1106	556	438	1072	Lysobacter
TBS_004	3428	1	5046	1342	1901	672	734	309	297	191	32	34	38	26	30	34	26	16	25	27	18	14	0	0	0	0	0	0	0	0	6574	5270	5654	1149	642	605	433	0	49	111	106	110	34	38	28	40	22	26	47	26	0	0	0	13	0	0	0	0	11130	825	2767	1815	1515	1463	8888	3442	2928	12703	4401	2287	776	9344	3764	2906	4857	1789	6186	2882	1798	1744	1424	1271	681	1578	1525	3101	2022	4440	953	2281	849	1359	3494	3577	4467	3597	2943	1064	4883	15908	5261	1604	7545	10153	12660	1558	1595	23968	5123	992	3513	8437	1071	6773	8818	6234	1063	1908	1331	2065	2770	1253	1512	2412	2017	1258	2537	1113	2422	1840	1944	1763	2584	1291	1777	2428	Pseudomonas
TBS_028	175	18	284	56	66	33	31	19	9	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	228	136	38	19	11	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5624	1657	2755	1454	604	2945	502	2571	1231	12485	4784	3161	1644	4211	13976	1120	1175	1440	28138	1547	1501	1489	849	960	883	791	1467	2007	1325	4438	1465	1731	937	982	2204	1907	2139	2562	3384	1193	10227	2227	8597	3994	6019	7070	13172	1326	1395	2207	2056	616	31762	11899	720	1975	4437	3115	1387	1181	1206	1317	2620	888	1103	1614	1865	884	1965	933	1917	2371	1335	1205	1711	738	900	1298	Pseudomonas
TBS_049	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	1049	308	1203	529	430	413	1610	824	405	276	982	528	852	429	648	512	560	831	661	1198	1125	889	1319	630	1678	1651	1631	1127	992	1296	886	1072	1878	1580	2466	1161	2015	0	1118	1124	780	452	880	636	199	80	177	775	286	1085	844	97	282	646	385	758	1056	410	1246	1572	1115	919	1120	1157	1246	1167	1054	1680	880	1697	1753	841	590	1418	682	1146	1357	Pseudomonas
NA2	1745	1	2881	1747	1814	2738	2246	731	347	708	108	117	220	284	210	114	268	306	345	133	211	222	56	20	37	121	0	14	25	149	2462	2156	2274	965	978	932	880	0	139	392	431	393	131	183	157	196	137	112	234	172	24	36	65	93	0	13	30	0	54	91	15	514	82	89	28	240	65	66	22	191	88	306	64	174	154	153	287	93	208	190	184	96	55	225	173	166	159	135	159	234	34	333	309	124	220	228	0	148	52	343	186	162	119	66	29	200	42	69	423	194	28	26	112	83	239	57	94	284	169	199	356	209	280	211	267	153	478	149	500	162	161	111	425	144	173	237	Pseudomonas
NA5	8075	1	11966	10941	7479	13935	15193	10062	9794	14227	557	2735	3292	3653	5022	4261	5777	6549	9444	7542	5847	6635	3656	3734	3516	3885	4272	4667	7359	7713	14167	11413	11073	6957	8111	10088	10764	0	2647	6690	6748	6620	4598	5409	5731	5361	7643	6994	9898	8275	3824	13043	10233	13401	8813	6886	7232	6951	247	454	191	1098	363	353	148	1430	398	329	158	736	375	789	240	1394	548	548	816	408	1011	1024	807	660	371	1035	918	1070	688	411	708	524	263	1904	1588	589	982	1012	269	854	192	871	396	511	1453	465	70	201	304	1000	871	677	440	199	555	350	801	1436	371	1196	683	1216	907	786	1262	961	846	761	1565	756	1589	953	870	789	1301	553	771	1152	Pseudomonas
