Sample.Name	Median.Number.of.Roots	Maximum.Number.of.Roots	Number.of.Root.Tips	Total.Root.Length.px	Depth.px	Maximum.Width.px	Width-to-Depth.Ratio	Network.Area.px2	Convex.Area.px2	Solidity	Lower.Root.Area.px2	Average.Diameter.px	Median.Diameter.px	Maximum.Diameter.px	Perimeter.px	Volume.px3	Surface.Area.px2	Holes	Average.Hole.Size.px2	Computation.Time.s	Average.Root.Orientation.deg	Shallow.Angle.Frequency	Medium.Angle.Frequency	Steep.Angle.Frequency	Root.Length.Diameter.Range.1.px	Root.Length.Diameter.Range.2.px	Root.Length.Diameter.Range.3.px	Projected.Area.Diameter.Range.1.px2	Projected.Area.Diameter.Range.2.px2	Projected.Area.Diameter.Range.3.px2	Surface.Area.Diameter.Range.1.px2	Surface.Area.Diameter.Range.2.px2	Surface.Area.Diameter.Range.3.px2	Volume.Diameter.Range.1.px3	Volume.Diameter.Range.2.px3	Volume.Diameter.Range.3.px3
w1-8-2-123	17	42	2945	201377.5394	3648	4743	1.300164	5268396	12363325	0.426131	4787539	66.313101	38.832977	792.615906	160414.4145	2232670311	43790590.83	576	3589.420139	1.926	44.17887	0.319501	0.35583	0.324669	802.595021	5487.898121	195087.0463	1593.876334	21075.95804	13915459.42	5016.195947	66240.17421	43719334.46	2508.097973	65412.56357	2232602390
w1-8-2-125	9	36	2189	158182.9914	3591	3328	0.926761	4697697	8684032	0.540958	3894109	81.303593	38.418747	981.305237	112115.6924	2821024798	41584696.12	560	998.082143	1.481	44.886567	0.323787	0.327771	0.348442	989.305699	5386.234124	151807.4516	1971.782971	20817.93913	13213185.23	6194.538897	65415.53426	41513086.05	3097.269449	64872.84385	2820956828
w1-8-2-126	12	39	2850	172854.3515	3648	4493	1.231634	4038687	10290753	0.392458	3617167	58.400301	34.176014	748.438354	140558.7417	1518090895	32600051.81	552	2649.891304	1.807	43.081009	0.352345	0.326341	0.321314	1141.543289	6284.3632	165428.445	2280.258152	24330.45165	10349403.67	7163.642257	76436.36815	32516451.8	3581.821129	75921.27543	1518011392
w1-8-2-127	13	44	2746	181330.3665	3648	4174	1.144189	5056907	10237521	0.493958	4374689	72.403259	39.698868	856.420471	134407.0548	2618705667	43081362.16	558	1913.453405	1.729	43.368703	0.347895	0.325161	0.326945	924.577777	5898.449419	174507.3393	1849.155554	22716.87159	13688166.78	5809.293505	71381.20654	43004171.66	2904.646753	70673.03497	2618632089
w1-8-2-129	8	27	1625	116709.9113	3342	2721	0.814183	3499993	7050337.5	0.496429	2780945	78.743928	42	915.370972	86793.86741	2097426225	29750267.29	390	2960.128205	1.062	42.789406	0.359786	0.309055	0.33116	501.730014	3482.458295	112725.7229	1000.631601	13402.57765	9454871.495	3143.576887	42119.48913	29705004.23	1571.788443	41648.64151	2097383005
w1-9-2-141	15	47	2559	188769.7948	3648	4214	1.155154	5296180	10682674	0.495773	4437185	74.683708	37.363083	1008.432434	156899.3752	3263633581	46424895.75	531	2667.734463	1.837	45.355646	0.320316	0.304426	0.375258	1115.34733	6518.152088	181136.2954	2225.866233	25223.21489	14749358.91	7001.65077	79241.06659	46338653.04	3500.825385	78768.58615	3263551312
w1-9-2-142	12	35	2382	181072.7005	3648	3428	0.939693	5531091	10387501	0.532476	4211253	80.214439	37.94733	1042.957275	138075.8749	3694255582	47506668.83	650	1765.049231	1.597	43.09031	0.369328	0.285485	0.345187	791.766594	5206.185351	175074.7486	1580.704761	20064.46882	15099796.54	4965.930464	63034.38783	47438668.51	2482.965232	62407.90514	3694190691
w1-9-2-146	10	31	1635	159450.2485	3500	3345	0.955714	5670620	8827652.5	0.64237	4676248	96.864497	52.611786	1048.627686	100394.8852	3827156801	50089448.68	529	1240.476371	1.526	42.576146	0.36542	0.306441	0.32814	563.801082	3350.622725	155535.8246	1127.602164	12891.63628	15929569.45	3542.466674	40500.26983	50045405.94	1771.233337	40056.02585	3827114974
w1-9-2-148	12	42	2371	175513.2969	3648	3440	0.942982	5341677	9515386.5	0.561373	4583522	78.089208	42	928.021545	129692.0638	2985369019	44803140.16	557	1734.766607	1.462	42.890844	0.364436	0.299182	0.336382	1030.619408	5249.594514	169233.083	2049.581961	20175.87149	14238862.06	6438.951633	63384.36966	44733316.84	3219.475816	62593.67388	2985303206
w1-9-2-149	10	26	1720	134780.1869	3648	3046	0.834978	4383650	8624269.5	0.508292	3438978	84.628376	45.122055	987.564697	99339.5713	2522442260	37141498.55	351	1824.649573	1.362	43.713043	0.355896	0.279187	0.364916	581.156421	3330.184125	130868.8463	1162.312842	12787.9714	11808089.22	3651.513485	40174.59702	37097672.44	1825.756743	39697.3004	2522400737
w2-2-2-14	11	36	2152	165131.2917	3648	4008	1.098684	4569409	9274089.5	0.492707	4067557	85.468501	46	951.57135	117654.9558	3332958792	46637896.93	475	4308.366316	1.626	43.120701	0.334273	0.360087	0.30564	1084.300649	5333.733691	158713.2574	2154.116016	20618.82411	14821953.83	6767.355051	64775.94635	46566353.63	3383.677525	64328.51061	3332891080
w2-2-2-17	11	30	1688	116232.7	2959	3420	1.155796	2721354	7466679	0.364466	2249141	55.007796	30.594116	648.459717	105258.9746	903691432.8	20725816.31	403	2366.451613	1.145	47.073306	0.28606	0.345662	0.368278	793.766594	4504.864499	110934.0689	1582.704761	17461.66282	6578067.54	4972.21365	54871.48127	20665972.62	2486.106825	54569.44919	903634377.2
w2-2-2-18	12	31	1604	116154.3999	2617	3473	1.327092	2768542	6881690	0.402306	2509988	56.827175	32.55764	663.641479	90322.39208	887732145.6	21192715.56	561	1287.467023	1.088	43.989013	0.345877	0.31741	0.336712	597.499567	4102.857357	111454.0429	1189.342279	15946.10946	6728070.817	3736.428967	50096.18033	21138882.95	1868.214483	49924.80661	887680352.6
w2-2-2-19	9	42	2350	164894.3104	3414	3385	0.991506	3859424	8680365	0.444615	3440270	58.77703	29.732138	711.16803	132019.6527	1528999593	31220043.91	781	1450.919334	1.418	45.026797	0.320645	0.339838	0.339518	1136.886435	6542.188668	157215.2352	2264.116016	25375.25417	9909310.225	7112.930242	79718.71209	31133212.27	3556.465121	79343.81062	1528916693
w2-2-2-20	7	37	2591	168999.8885	3648	3724	1.020833	4239321	8829081	0.480154	3422526	68.370121	34.058773	829.778259	121358.7432	2108741417	37712701.29	689	1499.734398	1.632	43.929381	0.302936	0.400104	0.29696	1187.141269	7112.800933	160699.9463	2362.96883	27481.90784	11974167.7	7423.485516	86336.95976	37618940.84	3711.742758	85595.19805	2108652110
w2-3-2-35	10	32	2673	162297.7306	3642	3285	0.901977	3880559	7741284.5	0.501281	3632702	60.103884	37.94733	661.809631	113841.4071	1278900996	31522999.77	594	1465.367003	1.375	43.393445	0.352392	0.32219	0.325419	1055.915872	6378.152088	154863.6627	2111.831745	24587.0498	10006819.32	6634.515095	77288.36582	31439076.88	3317.257547	76545.93305	1278821133
w2-3-2-37	8	34	1626	138786.204	3648	3270	0.896382	4597802	7991999.5	0.575301	3799080	92.128109	44.407207	1070.089722	102109.4813	3293854004	41754047.56	411	2588.355231	1.361	43.860571	0.320589	0.360519	0.318892	510.931024	3873.330445	134401.9425	1021.862048	15028.33441	13274398.43	3210.274304	47212.90499	41703624.38	1605.137152	46982.78303	3293805416
w2-3-2-38	8	44	2654	182166.5515	3648	4183	1.146656	4219912	10388201.5	0.406222	3685925	59.451102	36.878178	622.539978	141373.3651	1447558164	35046960.9	626	2335.958466	1.633	43.274626	0.326695	0.380336	0.292969	904.577777	5776.12561	175485.8481	1803.4987	22398.74971	11130861.14	5665.858267	70367.74752	34970927.29	2832.929134	70067.77365	1447485263
w2-3-2-39	9	36	2150	153257.0442	3399	3920	1.15328	3730074	8670468.5	0.430204	2986391	64.884443	35.383614	829.891541	113756.1274	1736438127	32164715.72	618	1994.156958	1.411	44.468034	0.302119	0.391845	0.306036	1017.518903	5480.85144	146758.6738	2029.380951	21050.16461	10214824.82	6375.488288	66131.04251	32092209.19	3187.744144	65213.19524	1736369726
w2-3-2-40	7	27	1661	131282.2681	3648	3724	1.020833	3954028	8513673	0.464433	3123952	78.151468	42.047592	812.04187	98135.38428	2071248851	33311274.9	428	2159.436916	1.384	44.636678	0.30589	0.371458	0.322652	385.504617	3357.416665	127539.3468	768.180808	12978.40181	10589392.17	2413.311182	40800.95104	33268060.64	1206.655591	40541.98448	2071207102
w2-8-2-131	9	32	1733	137985.776	3635	3604	0.991472	4003389	8808768.5	0.454478	3423454	71.496002	41.617306	927.60553	109734.8172	1915779395	31675337.33	441	2478.120181	1.411	44.898169	0.315267	0.35409	0.330643	593.357431	4002.774096	133389.6445	1183.886435	15557.17529	10065703.67	3719.288927	48874.30762	31622743.73	1859.644464	48679.96704	1915728855
w2-8-2-132	8	34	1835	126505.7617	3531	4072	1.153214	2910342	9115091.5	0.319288	2909648	53.051985	32.55764	610.003296	114600.8568	845549579.8	21745080.21	398	3609.208543	1.397	45.145666	0.281397	0.414169	0.304434	404.67619	3221.622725	122879.4628	809.35238	12467.81141	6907842.279	2542.655493	39196.88398	21703340.67	1271.327746	38959.72494	845509348.7
w2-8-2-133	9	28	1643	135784.373	3648	3701	1.014529	3825688	8308191.5	0.460472	3423401	82.76233	44.407207	801.411255	104134.3193	2307647249	36574131.64	369	2492.666667	1.46	45.431413	0.282248	0.388076	0.329677	518.700577	3113.622725	132152.0497	1030.572727	11998.00008	11628756.44	3237.639707	37715.76432	36533178.24	1618.819853	37345.72443	2307608284
w2-8-2-135	9	28	2043	134307.6727	3648	2643	0.724507	3141144	7189994.5	0.436877	2789318	60.880625	33.526108	723.394775	106482.2176	1446799861	26758430.31	546	3425.424908	1.147	45.096044	0.319897	0.333072	0.347032	769.766594	4446.562984	129091.3431	1539.533188	17193.98676	8498448.648	4836.586154	54016.50249	26699577.23	2418.293077	53612.99537	1446743829
w2-8-2-140	7	37	2752	201596.1289	3648	4136	1.133772	5903059	10735914.5	0.549842	4907486	83.263888	44.271889	1164.027466	128171.0639	4049114819	53969095.6	724	1647.517956	1.712	41.095596	0.349925	0.387397	0.262678	1193.14632	6625.431309	193777.5512	2383.464212	25619.95684	17149958.28	7487.873659	80487.46819	53881120.26	3743.93683	79869.51213	4049031205
w2-9-2-151	10	33	2381	145741.3443	2837	3911	1.378569	3661610	7836787	0.467234	3016118	67.885384	34.928497	905.988953	107847.0867	1944098107	31836999.8	549	1946.453552	1.259	42.980867	0.333401	0.372988	0.293612	990.288455	5328.508294	139422.5475	1978.576911	20629.19024	10110895.68	6215.882687	64850.66141	31765933.26	3107.941344	64439.72273	1944030559
w2-9-2-152	9	31	1848	143034.6804	3093	4164	1.346266	4285743	8471141.5	0.505923	3664864	87.128736	44.045429	955.028809	94743.38234	2976693880	40674119.27	507	1365.461538	1.51	43.951771	0.329383	0.346953	0.323664	699.009235	3999.092855	138336.5783	1395.190042	15486.54792	12929984.09	4383.118787	48680.52444	40621055.63	2191.559394	48408.23652	2976643280
w2-9-2-153	7	34	1989	151522.8177	3648	3877	1.062774	4130821	8786928	0.47011	3626107	69.272966	39.446167	793.395264	110425.5897	1763733225	33971240.16	588	1145.916667	1.561	44.453301	0.322064	0.343106	0.33483	849.121933	4688.98434	145984.7114	1693.415439	18139.88247	10793153.7	5320.021503	56988.12149	33908932.02	2660.010751	56538.67016	1763674027
w2-9-2-154	5	29	1637	122347.1244	3281	3130	0.953977	3507564	7196010	0.487432	2856560	93.927042	40.249222	974.248413	80510.75839	3217560064	37471693.94	493	702.212982	1.155	42.92701	0.308791	0.407917	0.283292	622.139177	3595.465438	118129.5198	1229.793073	13913.97924	11911817.77	3863.508883	43726.10459	37424104.32	1931.754441	43430.6141	3217514701
w2-9-2-159	7	36	2254	162426.7854	3095	3852	1.244588	3959630	7609757.5	0.520336	3353022	73.017557	40	812.088684	106799.8611	2311180515	38486579.58	716	1149.212291	1.394	42.873527	0.302879	0.447861	0.24926	1217.011327	6038.394729	155171.3794	2427.194226	23305.21531	12224424.96	7625.25555	73243.59246	38405710.73	3812.627775	72576.98516	2311104126
d1-12-2-160	8	19	820	37803.90243	1924	2758	1.433472	638773	3301342.5	0.193489	622684	32.721677	21.260292	400.005005	43424.62479	103963765.8	3984897.594	97	1582.85567	0.527	47.630393	0.28232	0.335093	0.382587	318.592929	2035.126117	35450.18338	637.185858	7925.949744	1259818.731	2001.778411	24900.10549	3957995.71	1000.889206	24802.35715	103937962.5
d1-12-2-162	4	27	797	68666.07831	2069	3212	1.552441	2046548	3917982	0.522347	1779394	81.39989	38.626415	666.417297	52971.74362	1099219395	18320966.28	248	1296.979839	0.772	44.97524	0.319899	0.342085	0.338015	227.965512	1456.62655	66981.48625	451.931024	5598.427524	5825346.844	1419.783186	17587.97878	18301958.51	709.891593	17382.77546	1099201302
d1-12-2-164	4	23	566	56596.73791	2123	1907	0.898257	1728052	2782708.5	0.620996	1591469	79.244071	44.271889	522.137939	37862.43021	669906762.7	14580194.26	243	354.411523	0.568	46.417533	0.286706	0.369785	0.343509	228.521861	1190.58492	55177.63113	454.215295	4570.809361	4635863.14	1426.959435	14359.62111	14564407.68	713.479718	14199.14914	669891850
d1-12-2-170	6	24	1215	72888.30233	3153	3159	1.001903	1414075	4912803.5	0.287835	1360729	38.459884	28.284271	434.004608	68235.13805	203660576.8	9004560.555	319	1655.570533	0.929	45.92237	0.303921	0.354221	0.341858	420.617316	2558.022654	69909.66236	838.406204	9979.965717	2855237.115	2633.930772	31367.03661	8970559.588	1316.965386	31380.74506	203627879.1
d1-12-2-171	10	28	1288	110869.3952	2740	3865	1.410584	2708651	6974473	0.388366	1377653	60.859698	30	523.450073	92525.14215	987838284.5	21975913.41	489	1266.593047	1.1	47.101605	0.290146	0.358452	0.351402	549.700577	3093.777054	107225.9175	1093.744299	11929.52644	6981818.547	3436.099056	37495.48415	21934981.83	1718.049528	37112.00601	987799454.5
d1-13-2-201	4	18	759	36540.2043	2042	2447	1.198335	692637	2547934	0.271843	621531	39.225219	25.059929	402.124359	36406.00921	131942889.7	4627179.7	129	1047.062016	0.519	45.107122	0.29048	0.404351	0.305169	212.308658	1629.067243	34698.8284	421.788889	6288.527714	1466134.478	1325.088874	19755.99247	4606098.618	662.544437	19601.29591	131922625.9
d1-13-2-203	11	27	1447	79573.72145	2725	2915	1.069725	1413295	4620348.5	0.305885	1413295	34.40936	24.738634	368.879395	80658.41575	173000719	8771007.706	312	3051.823718	0.813	47.60909	0.282531	0.344036	0.373432	511.07316	3282.848122	75779.80016	1016.489465	12693.07338	2777863.249	3193.395837	39890.5157	8727923.794	1596.697919	39572.76615	172959549.6
d1-13-2-205	3	19	827	56456.83041	3506	3294	0.939532	1162877	6727501.5	0.172854	1067005	44.149054	27.856777	424.796417	55785.34895	224507641	7971986.454	194	1267.809278	0.933	46.889423	0.263678	0.397435	0.338887	180.894444	1606.971788	54668.96417	361.788889	6216.135851	2530876.655	1136.593315	19528.56673	7951321.294	568.296657	19390.27948	224487682.4
d1-13-2-208	6	23	1196	107901.4294	3648	2431	0.666393	2731846	6562219	0.416299	2731846	61.106146	39.293766	644.015503	79079.86669	801124813.7	21067134.75	487	960.566735	1.014	46.474272	0.305282	0.326927	0.367791	356.63456	2440.140403	105104.6545	713.269119	9446.564479	6695379.387	2240.801025	29677.25757	21035216.69	1120.400513	29498.64044	801094194.7
d1-13-2-210	7	32	1034	90661.48009	2460	2978	1.210569	2362262	4984877.5	0.473886	2150097	66.984311	37.576588	639.831238	71035.1001	981074233.7	19614439.86	393	897.147583	0.864	45.527994	0.293044	0.391776	0.31518	513.801082	2695.201369	87452.47764	1014.288455	10389.09281	6231771.823	3186.48116	32656.0692	19578597.31	1593.24058	32319.04807	981040321.4
d1-18-2-313	9	21	810	51247.57486	1901	3147	1.655445	1130583	3805663.5	0.297079	1059245	49.143396	34	449.177032	46998.70408	235851639.4	7901925.545	154	2727.12987	0.642	44.009305	0.291933	0.406506	0.301561	249.663997	1662.09668	49335.81418	499.327994	6389.612734	2508311.993	1568.685157	20087.61005	7880269.25	784.342579	19890.11504	235830964.9
d1-18-2-321	2	19	689	34988.64168	2008	2698	1.343625	641645	3345596	0.191788	569784	38.325264	22.803509	378.423035	36761.67025	120338582.3	4299656.635	104	4195.442308	0.529	43.235057	0.320473	0.412676	0.26685	267.563492	2073.270345	32647.80784	535.126984	8019.756521	1359998.904	1681.151001	25194.80817	4272780.676	840.5755	25052.09386	120312689.7
d1-18-2-323	5	23	726	57832.27998	1802	2625	1.456715	1785873	3491279	0.511524	1525071	83.057238	39.446167	728.642578	43545.76729	994340294.7	15386099.57	232	1508.512931	0.625	45.469825	0.309623	0.360318	0.330058	228.107648	1304.609307	56299.56302	453.386868	5067.314367	4891877.576	1424.356855	15919.43759	15368755.77	712.178427	15873.23883	994323709.3
d1-18-2-326	6	22	740	48798.75494	2013	2410	1.197218	1063534	2906855	0.365871	967771	46.79681	31.240999	408.827606	45506.00401	203085884	7246910.132	169	2287.573964	0.579	44.774122	0.310633	0.36339	0.325978	230.551299	1433.881384	47134.32226	458.27417	5581.341038	2300719.052	1439.710766	17548.34963	7227922.072	719.855383	17492.60699	203067671.5
d1-18-2-328	7	23	716	53121.3864	1840	2655	1.442935	1258599	3508841.5	0.358694	1258599	54.427325	32	509.878418	48176.72969	355037879.7	9189753.832	205	1559.063415	0.595	44.751376	0.289219	0.404682	0.306099	256.279221	1757.606348	51107.50083	512.558441	6898.346757	2917649.422	1610.249833	21671.7955	9166471.786	805.124917	21783.46888	355015291.1
d1-19-2-341	3	27	812	63136.5444	2698	2593	0.961082	1333718	4253239.5	0.313577	1179958	49.772742	30	500.036011	56347.2763	377338255.5	10261147.96	292	1078.643836	0.777	43.650113	0.353106	0.321389	0.325505	316.776695	1890.966738	60928.80097	627.896536	7357.245149	3258218.429	1981.480912	23113.46731	10236053.01	990.740456	23049.63248	377314215.1
d1-19-2-344	6	21	655	43415.61959	1594	2820	1.769134	1209437	3030605	0.399074	975550	72.870805	28.071337	669.44751	40030.99947	664857643.3	10179962.49	149	1381.791946	0.527	41.957106	0.3346	0.414093	0.251306	239.622366	1443.319985	41732.67724	476.416306	5634.426742	3234152.98	1496.705966	17701.07366	10160764.71	748.352983	17704.64729	664839190.3
d1-19-2-346	10	22	1100	94243.95231	2738	2861	1.044923	2707877	5081781.5	0.53286	2425389	69.072174	40.792156	678.153381	67894.78725	1011676730	20702985.7	434	1026.857143	0.88	44.330779	0.309794	0.380279	0.309927	321.320851	2089.417531	91833.21393	634.984848	8115.882201	6581214.154	1994.863734	25496.7959	20675494.04	997.431867	25408.44272	1011650324
d1-19-2-348	9	20	1040	76790.34136	2829	3227	1.140686	2229763	6158781	0.362046	1995858	73.550831	35.608986	731.994507	67643.28784	1165437976	18289506.14	227	3110.286344	0.907	45.906173	0.301186	0.348617	0.350197	197.409163	1939.505843	74653.42636	390.818326	7555.351031	5813641.388	1227.791981	23735.8353	18264542.51	613.895991	23736.77725	1165413625
d1-19-2-350	4	29	832	62732.73567	3093	2757	0.891368	1696887	5247939.5	0.323343	1392860	66.59304	31.048349	630.634583	58336.38553	720714310.2	13535847.91	216	1972.319444	0.837	47.837104	0.263434	0.369236	0.36733	201.793939	1756.055049	60774.88668	398.759451	6821.443488	4301287.646	1252.739763	21447.96828	13513147.2	626.369881	21418.54614	720692265.3
d2-12-2-166	7	18	361	24504.13021	881	1856	2.106697	569596	1246328	0.457019	569596	47.168393	32.55764	376.876648	22947.3624	96508206.97	3684510.281	82	2248.707317	0.296	42.051862	0.368976	0.357597	0.273427	85.59798	578.215295	23840.31694	168.367532	2226.37538	1170421.305	528.942203	6994.364538	3676986.974	264.471101	6909.504915	96501032.99
d2-12-2-175	9	37	1356	126191.0916	2810	3240	1.153025	3107081	6641881	0.467801	2738571	61.19883	35.44009	605.104919	90991.35918	1003868852	24966429.27	636	898.773585	1.069	46.324291	0.296343	0.361115	0.342542	373.261977	2939.184125	122878.6455	746.523953	11365.41159	7934770.678	2345.274168	35705.49354	24928378.5	1172.637084	35409.60369	1003832270
d2-12-2-176	7	26	1440	90157.27296	3390	3426	1.010619	1998161	7357425	0.271584	1888954	51.068052	31.112698	551.089844	78113.17448	554802341.3	14943335.3	353	2209.679887	1.11	45.711354	0.317386	0.335373	0.347241	481.031529	3464.700936	86211.54049	962.063059	13411.97603	4741816.648	3022.410237	42163.06462	14898149.83	1511.205119	41916.46164	554758913.6
d2-12-2-178	11	39	2093	190099.8955	3648	4085	1.119792	4882190	10339676	0.47218	4530347	63.971384	35.383614	686.769226	141909.5898	1709404191	39159654.09	914	1596.212254	1.671	45.836376	0.31217	0.336151	0.351679	845.820418	4892.949853	184361.1253	1683.155554	18836.1615	12443909.14	5287.789125	59226.58123	39095139.72	2643.894562	58621.66761	1709342925
d2-12-2-200	5	27	1078	60634.06172	2463	1724	0.699959	1061773	2973049.5	0.357133	1061773	35.277419	24.413111	321.123016	54364.6447	120287986.1	6857754.781	321	823.841121	0.575	46.845602	0.31106	0.313947	0.374993	361.605122	2250.270345	58022.18625	709.553391	8653.39725	2173357.924	2229.127719	27185.44923	6828340.204	1114.56386	26882.93426	120259988.6
d2-13-2-211	6	20	569	25896.98043	1317	2193	1.665148	452620	1672242	0.270667	436518	33.678809	23.323807	304.217041	26878.6007	54104098.97	2799215.633	76	1982.697368	0.371	46.195936	0.262823	0.419969	0.317208	150.024387	945.962554	24800.99349	300.048773	3646.822361	887038.5807	942.631022	11456.83034	2786816.171	471.315511	11348.00191	54092279.66
d2-13-2-214	7	33	1194	94018.83457	2122	3458	1.629595	2570987	5221234.5	0.49241	2396551	77.552369	36	712.699097	69481.33855	1336333584	23350451.47	385	1292.174026	0.88	44.564999	0.316459	0.375652	0.307889	443.972655	2436.696752	91138.16516	881.116882	9476.318006	7422260.14	2768.110325	29770.73103	23317912.63	1384.055162	29692.04786	1336302508
d2-13-2-216	9	29	1452	107221.7662	3133	3195	1.019789	2427781	6638267.5	0.365725	2217589	56.909069	29.529646	630.897766	91787.15643	898925244.2	19674059.18	489	1169.660532	1.047	45.333332	0.305492	0.364051	0.330456	592.955411	3340.19841	103288.6123	1185.910822	12852.57224	6247877.813	3725.648725	40377.54651	19629955.98	1862.824363	39943.8413	898883437.5
d2-13-2-218	3	25	1089	64088.79924	3648	1824	0.5	1144122	4472769	0.255797	1144122	36.937955	26	443.589905	61230.2838	168318821.3	7569471.75	278	992.730216	0.738	47.847572	0.283972	0.323673	0.392355	465.445743	2622.750576	61000.60292	922.406204	10018.53118	2398036.374	2897.824555	31474.14397	7535099.782	1448.912278	30947.29111	168286425
d2-13-2-219	6	25	1213	64465.73444	3015	2843	0.942952	1152112	5864527	0.196454	1152112	33.693421	26	347.26358	70324.58083	129511250.4	6902328.302	222	2589.630631	0.89	48.139045	0.271677	0.335294	0.393029	407.031529	2683.745525	61374.95739	807.234631	10387.42704	2185741.233	2536.002388	32633.06447	6867159.235	1268.001194	32422.85144	129477559.6
